jurisdiction,year,ipcc_code,price
Australia,1992,1A2E,null
Australia,1992,1A2F,null
Australia,1992,1A2H,null
Australia,1992,1A2I,null
Australia,1992,1A2J,null
Australia,1992,1A2K,null
Australia,1992,1A2L,null
Australia,1992,1A2M,null
Australia,1993,1A1A1,null
Australia,1993,1A1A2,null
Australia,1993,1A2A,null
Australia,1993,1A2B,null
Australia,1993,1A2C,null
Australia,1993,1A2D,null
Australia,1993,1A2E,null
Australia,1993,1A2F,null
Australia,1993,1A2H,null
Australia,1993,1A2I,null
Australia,1993,1A2J,null
Australia,1993,1A2K,null
Australia,1993,1A2L,null
Australia,1993,1A2M,null
Australia,1994,1A1A1,null
Australia,1994,1A1A2,null
Australia,1994,1A2A,null
Australia,1994,1A2B,null
Australia,1994,1A2C,null
Australia,1994,1A2D,null
Australia,1994,1A2E,null
Australia,1994,1A2F,null
Australia,1994,1A2H,null
Australia,1994,1A2I,null
Australia,1994,1A2J,null
Australia,1994,1A2K,null
Australia,1994,1A2L,null
Australia,1994,1A2M,null
Australia,1995,1A1A1,null
Australia,1995,1A1A2,null
Australia,1995,1A2A,null
Australia,1995,1A2B,null
Australia,1995,1A2C,null
Australia,1995,1A2D,null
Australia,1995,1A2E,null
Australia,1995,1A2F,null
Australia,1995,1A2H,null
Australia,1995,1A2I,null
Australia,1995,1A2J,null
Australia,1995,1A2K,null
Australia,1995,1A2L,null
Australia,1995,1A2M,null
Australia,1996,1A1A1,null
Australia,1996,1A1A2,null
Australia,1996,1A2A,null
Australia,1996,1A2B,null
Australia,1996,1A2C,null
Australia,1996,1A2D,null
Australia,1996,1A2E,null
Australia,1996,1A2F,null
Australia,1996,1A2H,null
Australia,1996,1A2I,null
Australia,1996,1A2J,null
Australia,1996,1A2K,null
Australia,1996,1A2L,null
Australia,1996,1A2M,null
Australia,1997,1A1A1,null
Australia,1997,1A1A2,null
Australia,1997,1A2A,null
Australia,1997,1A2B,null
Australia,1997,1A2C,null
Australia,1997,1A2D,null
Australia,1997,1A2E,null
Australia,1997,1A2F,null
Australia,1997,1A2H,null
Australia,1997,1A2I,null
Australia,1997,1A2J,null
Australia,1997,1A2K,null
Australia,1997,1A2L,null
Australia,1997,1A2M,null
Australia,1998,1A1A1,null
Australia,1998,1A1A2,null
Australia,1998,1A2A,null
Australia,1998,1A2B,null
Australia,1998,1A2C,null
