jurisdiction,year,ipcc_code,price
Austria,2001,1A1A1,null
Austria,2001,1A1A2,null
Austria,2001,1A1A3,null
Austria,2001,1A1B,null
Austria,2001,1A1C,null
Austria,2001,1A2A,null
Austria,2001,1A2B,null
Austria,2001,1A2C,null
Austria,2001,1A2D,null
Austria,2001,1A2E,null
Austria,2001,1A2F,null
Austria,2001,1A2G,null
Austria,2001,1A2H,null
Austria,2001,1A2I,null
Austria,2001,1A2J,null
Austria,2001,1A2K,null
Austria,2001,1A2L,null
Austria,2001,1A2M,null
Austria,2001,1A3A2,null
Austria,2001,1C1A,null
Austria,2001,1C2B,null
Austria,2001,2A1,null
Austria,2001,2A2,null
Austria,2001,2A3,null
Austria,2001,2A4A,null
Austria,2001,2B1,null
Austria,2001,2B2,null
Austria,2001,2B3,null
Austria,2001,2B4,null
Austria,2001,2B5,null
Austria,2001,2B6,null
Austria,2001,2B7,null
Austria,2001,2B8F,null
Austria,2001,2C1,null
Austria,2001,2C2,null
Austria,2001,2C3,null
Austria,2001,2C4,null
Austria,2001,2C5,null
Austria,2001,2C6,null
Austria,2001,2H1,null
Austria,2002,1A1A1,null
Austria,2002,1A1A2,null
Austria,2002,1A1A3,null
Austria,2002,1A1B,null
Austria,2002,1A1C,null
Austria,2002,1A2A,null
Austria,2002,1A2B,null
Austria,2002,1A2C,null
Austria,2002,1A2D,null
Austria,2002,1A2E,null
Austria,2002,1A2F,null
Austria,2002,1A2G,null
Austria,2002,1A2H,null
Austria,2002,1A2I,null
Austria,2002,1A2J,null
Austria,2002,1A2K,null
Austria,2002,1A2L,null
Austria,2002,1A2M,null
Austria,2002,1A3A2,null
Austria,2002,1C1A,null
Austria,2002,1C2B,null
Austria,2002,2A1,null
Austria,2002,2A2,null
Austria,2002,2A3,null
Austria,2002,2A4A,null
Austria,2002,2B1,null
Austria,2002,2B2,null
Austria,2002,2B3,null
Austria,2002,2B4,null
Austria,2002,2B5,null
Austria,2002,2B6,null
Austria,2002,2B7,null
Austria,2002,2B8F,null
Austria,2002,2C1,null
Austria,2002,2C2,null
Austria,2002,2C3,null
